"SampleID","Species","Location","Date","Latitude","Longitude","Elevation","SampleName","Population"
"Angophora_floribunda_ANU_Banks_Building","Angophora floribunda","ANU Banks Building",,,,,,
"Corymbia_calophylla_ANBG","Corymbia calophylla","ANBG",,,,,,
"Corymbia_maculata_Arboretum_ACT","Corymbia maculata","ACT Arboretum",,,,,,
"Eucalyptus_albens_ANBG","Eucalyptus albens","ANBG",,,,,,
"Eucalyptus_brandiana","Eucalyptus brandiana","CCA",,,,,,
"Eucalyptus_camadulensis_ANBG","Eucalyptus camadulensis","ANBG",,,,,,
"Eucalyptus_cladocalyx","Eucalyptus cladocalyx","CCA",,,,,,
"Eucalyptus_cloezania_ANBG","Eucalyptus cloezania","ANBG",,,,,,
"Eucalyptus_coolabah","Eucalyptus coolabah","CCA",,,,,,
"Eucalyptus_curtisii_ANBG","Eucalyptus curtisii","ANBG",,,,,,
"Eucalyptus_decipiens","Eucalyptus decipiens","CCA",,,,,,
"Eucalyptus_desmondensis","Eucalyptus desmondensis","CCA",,,,,,
"Eucalyptus_diversifolia","Eucalyptus diversifolia","CCA",,,,,,
"Eucalyptus_elata_ANBG","Eucalyptus elata","ANBG",,,,,,
"Eucalyptus_erythrocorys_ANBG","Eucalyptus erythrocorys","ANBG",,,,,,
"Eucalyptus_globulus_UTAS_Campus","Eucalyptus globulus","UTAS Campus",,,,,,
"Eucalyptus_gomphocephala","Eucalyptus gomphocephala","CCA",,,,,,
"Eucalyptus_grandis","Eucalyptus grandis","CCA",,,,,,
"Eucalyptus_laeliae","Eucalyptus laeliae","CCA",,,,,,
"Eucalyptus_leucophloia","Eucalyptus leucophloia","CCA",,,,,,
"Eucalyptus_marginata_ANBG","Eucalyptus marginata","ANBG",,,,,,
"Eucalyptus_melliodora_CSIRO","Eucalyptus melliodora","CSIRO",,,,,,
"Eucalyptus_microcorys_ANBG","Eucalyptus microcorys","ANBG",,,,,,
"Eucalyptus_morrisbyi_UTAS_Campus","Eucalyptus morrisbyi","UTAS Campus",,,,,,
"Eucalyptus_ovata","Eucalyptus ovata","CCA",,,,,,
"Eucalyptus_patens","Eucalyptus patens","CCA",,,,,,
"Eucalyptus_pterocarpa","Eucalyptus pterocarpa","CCA",,,,,,
"Eucalyptus_pumila","Eucalyptus pumila","CCA",,,,,,
"Eucalyptus_pyriformis","Eucalyptus pyriformis","CCA",,,,,,
"Eucalyptus_regnans_Centurion","Eucalyptus regnans","Centurion",,,,,,
"Eucalyptus_relicta_Whicher","Eucalyptus relicta","Whicher",,,,,,
"Eucalyptus_salubris_ANBG","Eucalyptus salubris","ANBG",,,,,,
"Eucalyptus_scyphocalyx","Eucalyptus scyphocalyx","CCA",,,,,,
"Eucalyptus_sideroxylon_ANBG","Eucalyptus sideroxylon","ANBG",,,,,,
"Eucalyptus_tenuipes_ANBG","Eucalyptus tenuipes","ANBG",,,,,,
"Eucalyptus_tricarpa_Arboretum_ACT","Eucalyptus tricarpa","ACT Arboretum",,,,,,
"Eucalyptus_viminalis_Tasmanian_Herbarium","Eucalyptus viminalis","Tasmanian Herbarium",,,,,,
"Eucalyptus_virginea","Eucalyptus virginea","CCA",,,,,,
